id,rsex,typeschl,sclotbul,stfbuljb,gotostaf,schlbul,ubullsch,oftenbul,ubulloth,oftenub
1.0,Female,Secondary,A little,Don't know,,Don't know,No,,No,
2.0,Male,Secondary,A little,Yes,It depends,Don't know,No,,No,
3.0,Female,Grammar,A little,Yes,It depends,Don't know,No,,No,
4.0,Female,Planned Integrated,A little,Yes,It depends,Yes,Yes,Not at all,No,
5.0,Female,Grammar,A little,Yes,It depends,Don't know,No,,No,
6.0,Male,Grammar,A lot,Yes,It depends,Yes,Yes,A little,No,
7.0,Male,Secondary,A little,No,,No,No,,No,
8.0,Female,Grammar,Not at all,Yes,Would not talk to them,No,No,,No,
9.0,Male,Secondary,A little,Yes,It depends,Don't know,Yes,Not at all,No,
10.0,Female,Secondary,A little,Yes,It depends,Yes,Yes,Not at all,No,
11.0,Male,Grammar,A little,Yes,It depends,Yes,No,,Yes,Not at all 
12.0,Female,Secondary,A lot,Yes,Would not talk to them,Yes,No,,No,
13.0,Male,Grammar,A little,No,,Yes,No,,No,
14.0,Female,Secondary,A little,No,,Yes,Yes,Not at all,No,
15.0,Female,Grammar,A little,Don't know,,Yes,No,,No,
16.0,Male,Grammar,A little,Yes,Would not talk to them,Yes,Yes,Not at all,No,
17.0,Female,Grammar,A little,Yes,It depends,No,No,,No,
18.0,Female,Secondary,A little,Yes,It depends,Don't know,No,,No,
19.0,Female,Secondary,A little,Yes,It depends,No,No,,No,
20.0,Female,Planned Integrated,A little,Yes,Would talk to them,Yes,No,,No,
21.0,Female,Grammar,A little,No,,Yes,No,,No,
22.0,Male,Secondary,A lot,Yes,It depends,,Yes,A little,No,
23.0,Male,Secondary,A little,Yes,Would talk to them,Yes,No,,No,
24.0,Female,Secondary,A little,Yes,It depends,No,No,,No,
25.0,Female,Grammar,A little,No,,No,Yes,Not at all,No,
26.0,Female,Grammar,A little,Don't know,,Yes,Yes,Not at all,No,
27.0,Female,Grammar,A little,No,,No,No,,No,
28.0,Female,Grammar,A little,Yes,Would not talk to them,No,No,,No,
29.0,Male,Secondary,A lot,Yes,It depends,Yes,Yes,Not at all,No,
30.0,Female,Secondary,A lot,Yes,It depends,Yes,Yes,Not at all,No,
31.0,Male,Secondary,A little,No,,No,No,,No,
32.0,Female,Grammar,Not at all,Don't know,,Yes,No,,No,
33.0,Male,Secondary,A little,Yes,It depends,,No,,No,
34.0,Male,Grammar,A little,Don't know,,Yes,Yes,Not at all,Yes,A little
35.0,Female,Secondary,A little,Yes,Would not talk to them,Don't know,No,,No,
36.0,Female,Grammar,A little,Yes,It depends,No,No,,No,
37.0,Female,Secondary,Not at all,Yes,It depends,Yes,No,,No,
38.0,Male,,,,,,,,,
39.0,Female,Secondary,A little,Don't know,,No,No,,No,
40.0,Male,Secondary,A little,No,,No,No,,No,
41.0,Male,Grammar,A little,No,,Don't know,No,,No,
42.0,Female,Grammar,A little,Yes,It depends,Yes,No,,No,
43.0,Female,Secondary,A lot,Yes,It depends,No,Yes,Not at all,No,
