id,npqc_r_total,rating_type,rating
1,31.0,Attractive,2
1,31.0,Fashionable,2
1,31.0,Glamourous,2
1,31.0,Cool,2
2,37.0,Attractive,2
2,37.0,Fashionable,2
2,37.0,Glamourous,2
2,37.0,Cool,2
5,44.47,Attractive,3
5,44.47,Fashionable,3
5,44.47,Glamourous,3
5,44.47,Cool,3
6,30.0,Attractive,1
6,30.0,Fashionable,3
6,30.0,Glamourous,3
6,30.0,Cool,3
7,28.0,Fashionable,3
7,28.0,Cool,3
7,28.0,Attractive,4
7,28.0,Glamourous,4
13,42.0,Attractive,5
13,42.0,Fashionable,5
13,42.0,Glamourous,5
13,42.0,Cool,5
14,23.47,Attractive,3
14,23.47,Fashionable,3
14,23.47,Glamourous,3
14,23.47,Cool,3
15,28.0,Fashionable,1
15,28.0,Attractive,2
15,28.0,Glamourous,2
15,28.0,Cool,2
18,44.0,Attractive,3
18,44.0,Fashionable,3
18,44.0,Glamourous,3
18,44.0,Cool,3
21,40.0,Cool,2
21,40.0,Attractive,4
21,40.0,Glamourous,4
21,40.0,Fashionable,5
22,32.46,Attractive,3
22,32.46,Fashionable,3
22,32.46,Glamourous,3
22,32.46,Cool,3
23,24.0,Attractive,1
23,24.0,Fashionable,1
23,24.0,Glamourous,1
23,24.0,Cool,5
24,38.0,Attractive,3
24,38.0,Fashionable,3
24,38.0,Cool,3
24,38.0,Glamourous,4
25,19.0,Attractive,3
25,19.0,Fashionable,3
25,19.0,Glamourous,3
25,19.0,Cool,3
27,22.0,Attractive,3
27,22.0,Fashionable,3
27,22.0,Glamourous,3
27,22.0,Cool,3
28,48.0,Attractive,3
28,48.0,Fashionable,3
28,48.0,Glamourous,3
28,48.0,Cool,3
31,22.0,Attractive,1
31,22.0,Fashionable,1
31,22.0,Glamourous,1
31,22.0,Cool,1
32,26.0,Fashionable,2
32,26.0,Glamourous,2
32,26.0,Cool,2
32,26.0,Attractive,3
33,33.0,Attractive,3
33,33.0,Fashionable,3
33,33.0,Glamourous,3
33,33.0,Cool,3
34,26.0,Attractive,3
34,26.0,Fashionable,3
34,26.0,Glamourous,3
34,26.0,Cool,3
35,22.0,Fashionable,2
35,22.0,Attractive,3
35,22.0,Glamourous,3
35,22.0,Cool,5
36,31.0,Attractive,3
36,31.0,Fashionable,3
36,31.0,Glamourous,3
36,31.0,Cool,3
37,50.0,Attractive,4
37,50.0,Glamourous,4
37,50.0,Cool,4
37,50.0,Fashionable,5
39,37.0,Fashionable,3
39,37.0,Glamourous,3
39,37.0,Cool,3
39,37.0,Attractive,4
45,30.0,Fashionable,2
45,30.0,Glamourous,2
45,30.0,Cool,2
45,30.0,Attractive,3
46,33.0,Fashionable,2
46,33.0,Glamourous,3
46,33.0,Attractive,4
46,33.0,Cool,5
48,38.0,Attractive,3
48,38.0,Fashionable,3
48,38.0,Cool,3
48,38.0,Glamourous,4
50,30.0,Attractive,3
50,30.0,Fashionable,4
50,30.0,Glamourous,4
50,30.0,Cool,4
51,45.0,Attractive,2
51,45.0,Fashionable,2
51,45.0,Glamourous,2
51,45.0,Cool,3
53,23.0,Attractive,1
53,23.0,Fashionable,1
53,23.0,Glamourous,1
53,23.0,Cool,1
54,30.0,Cool,2
54,30.0,Attractive,3
54,30.0,Fashionable,3
54,30.0,Glamourous,3
55,39.0,Attractive,3
55,39.0,Fashionable,3
55,39.0,Glamourous,3
55,39.0,Cool,3
56,21.0,Attractive,1
56,21.0,Glamourous,1
56,21.0,Cool,1
56,21.0,Fashionable,2
59,31.0,Attractive,3
59,31.0,Fashionable,3
59,31.0,Glamourous,3
59,31.0,Cool,4
60,41.0,Cool,2
60,41.0,Attractive,3
60,41.0,Fashionable,3
60,41.0,Glamourous,3
62,38.0,Fashionable,1
62,38.0,Glamourous,1
62,38.0,Cool,2
62,38.0,Attractive,3
66,35.0,Fashionable,2
66,35.0,Glamourous,2
66,35.0,Attractive,3
66,35.0,Cool,3
67,26.0,Attractive,2
67,26.0,Fashionable,2
67,26.0,Glamourous,2
67,26.0,Cool,2
68,35.0,Attractive,3
68,35.0,Glamourous,3
68,35.0,Fashionable,5
68,35.0,Cool,5
69,48.0,Fashionable,2
69,48.0,Glamourous,3
69,48.0,Attractive,4
69,48.0,Cool,4
