ticknumb,location,day1,day2,day3
2111,City,2.64,1.35,1.61
2229,Rural,0.97,1.41,0.29
2338,City,0.84,,
2384,Rural,3.03,,
2401,Rural,0.88,0.08,
2405,City,0.85,,
2467,Rural,1.56,,
2478,Rural,3.02,,
2490,City,2.29,,
2504,Rural,1.11,0.44,0.55
2509,City,2.17,,
2510,Rural,0.82,0.2,0.47
2514,City,1.41,,
2515,Rural,1.76,1.64,1.58
2520,City,1.38,0.02,
2521,Rural,2.79,,
2529,City,1.5,,
2533,Rural,1.91,2.05,
2535,Rural,2.32,,
2538,City,2.05,,
2549,City,2.17,0.7,0.76
2551,Rural,2.05,,
2558,Rural,1.61,,
2562,Rural,1.66,0.85,
2565,Rural,2.3,,
2566,Rural,2.76,,
2568,Rural,1.44,,
2586,Rural,1.06,,
2601,City,3.23,,
2602,City,0.97,0.38,0.76
2604,City,2.57,0.11,0.02
2606,Rural,0.26,,
2609,Rural,0.47,,
2611,Rural,1.73,,
2612,City,1.94,0.82,1.67
2616,City,1.91,,
2624,Rural,2.08,0.91,0.96
2633,Rural,1.91,,
2642,Rural,1.42,,
2644,City,1.5,,
2662,Rural,0.11,,
2663,City,1.67,,
2664,City,2.08,,
2669,Rural,2.05,,
2670,City,2.0,,
2675,City,1.52,,
2676,Rural,1.58,,
2677,City,1.28,0.38,0.14
2681,City,1.88,,
2685,Rural,1.32,,
2686,Rural,2.09,,
2687,City,2.0,,
2688,Rural,2.64,,
2689,City,0.85,0.32,0.52
2692,Rural,2.47,0.23,0.38
2698,Rural,1.79,,
2709,Rural,1.64,,
2710,City,1.32,,
2712,Rural,2.97,,
2726,Rural,1.44,0.14,
2727,Rural,2.02,,
2728,City,1.79,,
2730,City,1.34,,
2731,Rural,2.29,1.9,
2732,Rural,1.66,,
2734,Rural,0.6,,
2735,Rural,1.76,0.76,0.29
2736,Rural,1.5,,
2737,Rural,2.08,0.7,
2748,Rural,1.0,0.55,
2752,City,1.73,,
2756,Rural,1.05,0.38,
2758,City,2.81,,
2759,Rural,1.52,,
2768,City,1.47,,
2769,Rural,2.64,,
2770,Rural,2.2,1.18,
2771,City,0.55,0.79,
2772,City,2.29,,
2773,Rural,2.0,,
2775,City,2.23,,
2779,Rural,2.45,,
2780,City,1.2,,
2783,City,2.91,2.08,2.11
2784,Rural,1.14,1.0,
2788,City,1.88,,
2789,City,0.94,,
2791,Rural,1.85,,
2794,Rural,2.58,,
2796,Rural,0.61,,
2799,City,0.7,,
2806,City,1.38,,
2807,Rural,1.94,,
2811,Rural,2.29,,
2812,City,1.59,,
2813,Rural,2.46,,
2814,Rural,1.67,0.14,
2825,Rural,2.02,0.58,0.5
2827,City,1.5,,
2828,Rural,2.7,1.7,1.91
2829,Rural,1.61,,
2830,City,2.29,,
2831,Rural,0.97,1.06,0.76
2839,City,1.85,,
2842,Rural,2.76,,
2857,City,1.64,,
2858,City,1.17,,
2859,City,1.57,,
2862,Rural,2.23,,
2863,Rural,2.05,1.58,2.15
2875,Rural,2.05,,
2876,Rural,2.94,,
2883,Rural,2.39,,
2890,City,1.94,,
2894,Rural,2.12,,
2895,Rural,1.11,,
2897,Rural,0.97,,
2898,Rural,1.35,,
2899,Rural,2.81,2.08,
2900,Rural,2.5,,
2901,City,1.87,,
2920,City,1.33,,
2921,Rural,1.26,,
2922,Rural,1.44,,
2923,City,0.55,,
2924,Rural,1.75,,
2925,Rural,2.08,,
2932,City,0.85,,
2933,Rural,2.52,,
2935,Rural,3.0,,
2936,Rural,1.41,,
2937,Rural,1.08,,
2938,City,1.2,1.38,1.5
2940,City,1.94,1.44,
2941,Rural,2.26,1.73,1.73
2942,City,1.41,,
2948,Rural,2.5,,
2952,City,2.17,,
2953,City,1.82,1.11,
2954,Rural,1.44,1.14,
2956,Rural,1.66,,
2957,City,1.82,,
2958,City,1.26,,
2959,Rural,2.67,,
2961,Rural,1.47,,
2962,Rural,1.84,,
2964,Rural,2.58,,
2966,City,1.73,,
2967,City,1.23,,
2968,City,2.32,,
2972,Rural,2.67,,
2974,Rural,1.02,,
2975,Rural,1.66,2.12,2.7
2976,Rural,1.88,,
2977,Rural,1.91,,
2978,Rural,1.64,,
2979,City,1.34,,
2982,City,1.85,,
2983,City,2.08,,
2984,City,1.02,,
2985,Rural,1.79,,
2988,Rural,1.94,,
2989,Rural,3.26,1.97,1.67
2990,City,1.14,0.58,0.11
3008,Rural,1.5,0.7,0.38
3009,Rural,2.03,,
3010,Rural,2.24,,
3013,Rural,1.11,,
3014,Rural,2.21,,
3016,City,1.94,,
3017,City,2.41,,
3018,City,0.88,,
3019,Rural,1.17,1.35,
3027,City,2.23,,
3028,Rural,1.64,,
3029,Rural,2.14,,
3030,City,0.11,0.29,
3031,City,2.17,,
3032,Rural,1.67,,
3033,Rural,1.0,,
3034,Rural,0.88,,
3035,City,2.2,,
3048,City,2.17,,
3049,Rural,2.32,,
3051,City,1.64,,
3052,Rural,3.0,,
3053,Rural,2.38,0.85,
3054,Rural,1.6,1.02,
3055,Rural,1.58,,
