location,film,interest
City,Bridget Jones' Diary,22
City,Bridget Jones' Diary,13
City,Bridget Jones' Diary,16
City,Bridget Jones' Diary,10
City,Bridget Jones' Diary,18
City,Bridget Jones' Diary,24
City,Bridget Jones' Diary,13
City,Bridget Jones' Diary,14
City,Bridget Jones' Diary,19
City,Bridget Jones' Diary,23
City,Memento,37
City,Memento,20
City,Memento,16
City,Memento,28
City,Memento,27
City,Memento,18
City,Memento,32
City,Memento,24
City,Memento,21
City,Memento,35
Rural,Bridget Jones' Diary,3
Rural,Bridget Jones' Diary,15
Rural,Bridget Jones' Diary,5
Rural,Bridget Jones' Diary,16
Rural,Bridget Jones' Diary,13
Rural,Bridget Jones' Diary,20
Rural,Bridget Jones' Diary,11
Rural,Bridget Jones' Diary,19
Rural,Bridget Jones' Diary,15
Rural,Bridget Jones' Diary,7
Rural,Memento,30
Rural,Memento,25
Rural,Memento,31
Rural,Memento,36
Rural,Memento,23
Rural,Memento,14
Rural,Memento,21
Rural,Memento,31
Rural,Memento,22
Rural,Memento,14
