id,sex,age,marital,child,educ,source,smoke,smokenum,op1,op2,op3,op4,op5,op6,mast1,mast2,mast3,mast4,mast5,mast6,mast7,pn1,pn2,pn3,pn4,pn5,pn6,pn7,pn8,pn9,pn10,pn11,pn12,pn13,pn14,pn15,pn16,pn17,pn18,pn19,pn20,lifsat1,lifsat2,lifsat3,lifsat4,lifsat5,pss1,pss2,pss3,pss4,pss5,pss6,pss7,pss8,pss9,pss10,sest1,sest2,sest3,sest4,sest5,sest6,sest7,sest8,sest9,sest10,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,rop2,rop4,rop6,rmast1,rmast3,rmast4,rmast6,rmast7,rpss4,rpss5,rpss7,rpss8,rsest3,rsest5,rsest7,rsest9,rsest10,rpc1,rpc2,rpc7,rpc11,rpc15,rpc16,toptim,tmast,tposaff,tnegaff,tlifesat,tpstress,tslfest,tmarlow,tpcoiss,agegp3,agegp5,educrec,lg10negaff,mah_1,coo_1,mah_2
415,FEMALES,24,MARRIED FIRST TIME,YES,COMPLETED UNDERGRADUATE,LIFE IN GENERAL,NO,,3.0,2.0,3.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,6.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,1.0,4.0,1.0,4.0,2.0,4.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,22.0,22.0,49.0,39.0,23.0,29.0,35.0,4.0,51.0,18 - 29,18 - 24,completed undergrad uni,1.6232492903979,0.958016199851603,4.53449843955693e-05,18.1006432002516
9,MALES,39,LIVING WITH PARTNER,YES,COMPLETED UNDERGRADUATE,WORK,YES,2.0,2.0,3.0,4.0,3.0,5.0,4.0,2.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,5.0,4.0,5.0,3.0,3.0,3.0,2.0,5.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,7.0,6.0,5.0,7.0,5.0,2.0,2.0,3.0,5.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,1.0,4.0,1.0,4.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,3.0,3.0,4.0,3.0,2.0,5.0,1.0,1.0,1.0,5.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,3.0,1.0,1.0,2.0,4.0,19.0,21.0,35.0,35.0,30.0,22.0,34.0,5.0,40.0,30 - 44,33 - 40,completed undergrad uni,1.54406804435028,3.64075332624113,0.0158523893638754,14.4820114551395
425,FEMALES,48,MARRIED FIRST TIME,YES,SOME SECONDARY,CHILDREN,NO,,3.0,1.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,7.0,7.0,7.0,6.0,6.0,1.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,5.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,19.0,19.0,15.0,14.0,33.0,19.0,31.0,8.0,47.0,45+,41 - 49,did not complete high school,1.14612803567824,1.30741786655502,0.014042483113735,14.2142913411782
307,MALES,41,REMARRIED,YES,SOME SECONDARY,WORK,NO,0.0,3.0,1.0,5.0,3.0,5.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,2.0,5.0,5.0,3.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,3.0,1.0,7.0,6.0,7.0,7.0,6.0,4.0,3.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,5.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,1.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,3.0,4.0,26.0,26.0,49.0,36.0,33.0,31.0,40.0,3.0,63.0,30 - 44,41 - 49,did not complete high school,1.55630250076729,1.31417610205586,0.0054038494713313,14.1694105528876
440,MALES,23,SINGLE,NO,COMPLETED UNDERGRADUATE,WORK,NO,0.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,5.0,4.0,4.0,3.0,4.0,5.0,18.0,23.0,12.0,11.0,16.0,27.0,21.0,4.0,46.0,18 - 29,18 - 24,completed undergrad uni,1.04139268515823,2.71888737968259,0.0003755638492946,13.7029738680639
484,FEMALES,31,MARRIED FIRST TIME,YES,COMPLETED UNDERGRADUATE,LIFE IN GENERAL,NO,,2.0,2.0,2.0,2.0,3.0,4.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,4.0,2.0,3.0,3.0,3.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,2.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,5.0,3.0,2.0,3.0,2.0,2.0,17.0,23.0,14.0,12.0,10.0,21.0,24.0,10.0,43.0,30 - 44,25 - 32,completed undergrad uni,1.07918124604762,3.75429886366276,0.0135141644294967,13.565507575151
341,FEMALES,30,SEPARATED,NO,SOME ADDITIONAL TRAINING,MONEY/FINANCES,NO,0.0,3.0,5.0,1.0,4.0,1.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,4.0,1.0,3.0,1.0,1.0,4.0,1.0,3.0,4.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,10.0,9.0,11.0,37.0,5.0,39.0,18.0,3.0,25.0,30 - 44,25 - 32,some additional training,1.56820172406699,12.6514286332534,0.0023990697465923,12.5234418841835
300,MALES,23,STEADY RELATIONSHIP,NO,COMPLETED UNDERGRADUATE,WORK,YES,100.0,4.0,1.0,3.0,1.0,4.0,2.0,2.0,4.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,5.0,1.0,4.0,4.0,1.0,2.0,5.0,2.0,5.0,1.0,1.0,4.0,2.0,5.0,5.0,5.0,4.0,6.0,3.0,3.0,5.0,3.0,2.0,5.0,2.0,1.0,2.0,5.0,4.0,4.0,1.0,4.0,1.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,4.0,1.0,3.0,1.0,4.0,2.0,3.0,2.0,5.0,5.0,4.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,4.0,25.0,21.0,12.0,38.0,25.0,39.0,34.0,4.0,35.0,18 - 29,18 - 24,completed undergrad uni,1.57978359661681,5.73472307469508,0.0159021603768974,12.3805241035109
61,FEMALES,18,STEADY RELATIONSHIP,NO,SOME SECONDARY,SPOUSE OR PARTNER,YES,40.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,5.0,2.0,1.0,4.0,3.0,2.0,5.0,5.0,2.0,2.0,3.0,2.0,4.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,2.0,2.0,1.0,2.0,5.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,5.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,13.0,12.0,11.0,34.0,8.0,43.0,18.0,5.0,27.0,18 - 29,18 - 24,did not complete high school,1.53147891704226,9.24032169146339,0.0084103723389327,12.2737012256573
24,MALES,23,SINGLE,NO,POSTGRADUATE COMPLETED,,NO,0.0,1.0,3.0,1.0,4.0,1.0,5.0,3.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,5.0,5.0,2.0,4.0,2.0,2.0,5.0,2.0,3.0,4.0,2.0,2.0,5.0,2.0,5.0,2.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,1.0,1.0,5.0,2.0,1.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,5.0,5.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,5.0,5.0,4.0,5.0,2.0,3.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,13.0,20.0,39.0,5.0,46.0,23.0,2.0,20.0,18 - 29,18 - 24,completed postgrad uni,1.66275783168157,11.7589862315721,0.025867864828895,11.6085887907589
