serial,s1gender,ethsfr,famsec,s1pared,s1expel,s1truan,s1weight,s1peta2,gcsepts,graddsci,satdsci,gradfren,satfren,gradit,satit,gradphys,satphys,gradchem,satchem,gradbiol,satbiol,gradmath,satmath,gradeng,sateng,pcschtype
20008.0,Female,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.7995731343166969,5+ A*-C,76.5,Fail,No,A*,Yes,,No,A,Yes,A,Yes,A,Yes,A*,Yes,A,Yes,Independent
20032.0,Female,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.9432999358681683,5+ A*-C,39.0,C,Yes,,No,,No,,No,,No,,No,C,Yes,C,Yes,Independent
20040.0,Female,White,Lower professional and higher technical occupations,At least one parent with degree,Not excluded,No truancy,0.7995731343166969,5+ A*-C,69.5,B,Yes,A,Yes,,No,,No,,No,,No,A,Yes,A*,Yes,Independent
20065.0,Female,White,Semi routine and routine occupations,Neither parent with A-level,Not excluded,No truancy,2.2260242776145045,1-4 A*-C,33.5,Fail,No,,No,,No,,No,,No,D,Yes,C,Yes,B,Yes,Independent
20081.0,Female,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.7995731343166969,5+ A*-C,76.0,Fail,No,A*,Yes,,No,A*,Yes,A*,Yes,A*,Yes,A*,Yes,A,Yes,Independent
20099.0,Female,Other ethnic group(inc mixed),Lower professional and higher technical occupations,At least one parent with degree,Not excluded,Occasional truancy,0.7995731343166969,5+ A*-C,68.0,Fail,No,B,Yes,A,Yes,B,Yes,,No,,No,A,Yes,A,Yes,Independent
20107.0,Female,White,Large employers and higher professionals,At least one parent with degree,Not excluded,Occasional truancy,0.7995731343166969,5+ A*-C,77.0,Fail,No,A*,Yes,,No,A*,Yes,A*,Yes,A*,Yes,A,Yes,A*,Yes,Independent
20149.0,Female,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.7995731343166969,5+ A*-C,70.0,Fail,No,A*,Yes,,No,A,Yes,A,Yes,A,Yes,A,Yes,A,Yes,Independent
20164.0,Male,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.4558659918643858,5+ A*-C,72.0,Fail,No,,No,A,Yes,A,Yes,A,Yes,A,Yes,A,Yes,A,Yes,Independent
20172.0,Male,White,Intermediate occupations,At least one parent with A-level,Not excluded,No truancy,1.0975123081624334,5+ A*-C,52.0,D,Yes,B,Yes,,No,,No,,No,,No,B,Yes,A,Yes,Independent
20180.0,Male,White,Lower professional and higher technical occupations,At least one parent with degree,Not excluded,No truancy,0.4558659918643858,5+ A*-C,59.0,B,Yes,B,Yes,,No,,No,,No,,No,B,Yes,A,Yes,Independent
20214.0,Male,White,Lower professional and higher technical occupations,At least one parent with degree,Not excluded,No truancy,0.4558659918643858,5+ A*-C,57.0,Fail,No,C,Yes,,No,C,Yes,C,Yes,C,Yes,B,Yes,B,Yes,Independent
20222.0,Male,White,Lower professional and higher technical occupations,At least one parent with A-level,Not excluded,No truancy,0.4558659918643858,5+ A*-C,71.0,Fail,No,A,Yes,,No,B,Yes,A,Yes,A,Yes,A,Yes,A,Yes,Independent
20230.0,Male,White,Lower professional and higher technical occupations,At least one parent with degree,Not excluded,No truancy,0.4558659918643858,5+ A*-C,64.0,Fail,No,B,Yes,,No,B,Yes,B,Yes,B,Yes,B,Yes,A,Yes,Independent
20248.0,Male,White,Lower professional and higher technical occupations,At least one parent with degree,Not excluded,No truancy,0.4558659918643858,5+ A*-C,58.0,Fail,No,C,Yes,,No,C,Yes,B,Yes,C,Yes,C,Yes,B,Yes,Independent
20255.0,Male,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.4558659918643858,5+ A*-C,81.0,Fail,No,A*,Yes,,No,A*,Yes,A*,Yes,A,Yes,A,Yes,A,Yes,Independent
20271.0,Male,White,Lower professional and higher technical occupations,At least one parent with A-level,Not excluded,No truancy,0.4558659918643858,5+ A*-C,59.0,Fail,No,C,Yes,,No,B,Yes,B,Yes,A,Yes,A,Yes,B,Yes,Independent
20289.0,Male,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.4558659918643858,5+ A*-C,88.0,Fail,No,A*,Yes,,No,A*,Yes,A*,Yes,A*,Yes,A*,Yes,A*,Yes,Independent
20305.0,Male,White,Large employers and higher professionals,At least one parent with A-level,Not excluded,No truancy,0.4558659918643858,5+ A*-C,66.0,Fail,No,B,Yes,,No,A,Yes,A,Yes,A,Yes,A,Yes,B,Yes,Independent
20313.0,Male,Indian,Intermediate occupations,Neither parent with A-level,Not excluded,No truancy,0.4558659918643858,5+ A*-C,70.0,Fail,No,B,Yes,,No,A,Yes,A*,Yes,A*,Yes,A,Yes,A,Yes,Independent
20321.0,Male,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.4558659918643858,5+ A*-C,80.0,Fail,No,A,Yes,,No,A,Yes,A*,Yes,A,Yes,A*,Yes,A,Yes,Independent
20347.0,Male,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.4558659918643858,5+ A*-C,62.0,Fail,No,B,Yes,,No,B,Yes,B,Yes,B,Yes,A,Yes,A,Yes,Independent
20354.0,Male,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.4558659918643858,5+ A*-C,76.0,Fail,No,A*,Yes,,No,A*,Yes,A*,Yes,A,Yes,A*,Yes,A,Yes,Independent
20370.0,Male,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.4558659918643858,5+ A*-C,78.0,Fail,No,A,Yes,,No,A*,Yes,A,Yes,A,Yes,A*,Yes,A*,Yes,Independent
20388.0,Male,White,Lower professional and higher technical occupations,Neither parent with A-level,Not excluded,No truancy,0.4558659918643858,5+ A*-C,57.0,B,Yes,,No,A,Yes,,No,,No,,No,B,Yes,A,Yes,Independent
20396.0,Male,White,Lower professional and higher technical occupations,At least one parent with degree,Not excluded,No truancy,0.4558659918643858,5+ A*-C,83.0,Fail,No,,No,A*,Yes,A,Yes,A,Yes,A,Yes,A*,Yes,A*,Yes,Independent
20420.0,Male,White,Lower professional and higher technical occupations,Neither parent with A-level,Not excluded,No truancy,1.0975123081624334,5+ A*-C,42.0,D,Yes,,No,A,Yes,,No,,No,,No,C,Yes,B,Yes,Independent
20446.0,Male,White,Intermediate occupations,Neither parent with A-level,Not excluded,No truancy,0.4558659918643858,5+ A*-C,48.0,C,Yes,B,Yes,B,Yes,,No,,No,,No,B,Yes,C,Yes,Independent
20479.0,Male,White,Lower supervisory occupations,At least one parent with degree,Not excluded,No truancy,0.4558659918643858,5+ A*-C,79.0,Fail,No,,No,B,Yes,B,Yes,B,Yes,A,Yes,C,Yes,C,Yes,Independent
20495.0,Female,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.7995731343166969,5+ A*-C,52.0,Fail,No,B,Yes,,No,A,Yes,,No,B,Yes,A,Yes,B,Yes,Independent
20503.0,Female,White,Lower professional and higher technical occupations,Neither parent with A-level,Not excluded,No truancy,0.7995731343166969,5+ A*-C,85.0,Fail,No,A,Yes,,No,A*,Yes,A*,Yes,A*,Yes,A*,Yes,A,Yes,Independent
20511.0,Male,White,Lower professional and higher technical occupations,At least one parent with degree,Not excluded,No truancy,0.4558659918643858,5+ A*-C,69.0,A*,Yes,A,Yes,,No,,No,,No,,No,B,Yes,A,Yes,Independent
20529.0,Male,White,Intermediate occupations,At least one parent with degree,Not excluded,No truancy,1.0975123081624334,5+ A*-C,41.0,C,Yes,E,Yes,,No,,No,,No,,No,C,Yes,C,Yes,Independent
20537.0,Male,White,Lower professional and higher technical occupations,At least one parent with degree,Not excluded,No truancy,2.375138960073481,1-4 A*-C,32.0,C,Yes,,No,,No,,No,,No,,No,D,Yes,D,Yes,Independent
20545.0,Male,White,Intermediate occupations,At least one parent with degree,Not excluded,No truancy,0.4558659918643858,5+ A*-C,67.0,A,Yes,A,Yes,,No,,No,,No,,No,B,Yes,A,Yes,Independent
20552.0,Female,White,Large employers and higher professionals,Neither parent with A-level,Not excluded,Occasional truancy,0.7995731343166969,5+ A*-C,50.0,C,Yes,,No,C,Yes,,No,,No,,No,C,Yes,B,Yes,Independent
20560.0,Female,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.7995731343166969,5+ A*-C,59.0,B,Yes,A,Yes,,No,,No,,No,,No,C,Yes,A,Yes,Independent
20586.0,Female,White,Lower professional and higher technical occupations,At least one parent with degree,Not excluded,No truancy,0.7995731343166969,5+ A*-C,86.0,Fail,No,A*,Yes,A,Yes,A*,Yes,A*,Yes,A*,Yes,A*,Yes,A,Yes,Independent
20602.0,Female,White,Intermediate occupations,At least one parent with degree,Not excluded,No truancy,0.9432999358681683,5+ A*-C,43.0,D,Yes,,No,C,Yes,,No,,No,,No,B,Yes,D,Yes,Independent
20610.0,Female,White,Large employers and higher professionals,At least one parent with degree,Not excluded,No truancy,0.7995731343166969,5+ A*-C,64.0,Fail,No,B,Yes,B,Yes,B,Yes,C,Yes,B,Yes,B,Yes,C,Yes,Independent
20628.0,Male,White,Intermediate occupations,Neither parent with A-level,Not excluded,No truancy,1.0975123081624334,5+ A*-C,44.0,D,Yes,,No,,No,,No,,No,,No,C,Yes,C,Yes,Independent
20669.0,Female,White,Lower professional and higher technical occupations,At least one parent with degree,Not excluded,No truancy,0.5367011332895134,5+ A*-C,76.0,Fail,No,A*,Yes,,No,A,Yes,A,Yes,A,Yes,A,Yes,A,Yes,Independent
20701.0,Female,White,Lower professional and higher technical occupations,At least one parent with degree,Not excluded,No truancy,0.5367011332895134,5+ A*-C,75.0,Fail,No,A*,Yes,A,Yes,A,Yes,A*,Yes,A*,Yes,A*,Yes,A*,Yes,Independent
